file_name,location,date,x_coordiate,y_coordiate,long_axis,short_axis,angle
BMGMC_014_7_2_15_layer1,14,7/2/2015,1069,553.5,158.1156395,93.09121499,1.570796327
BMGMC_014_7_2_15_layer1,14,7/2/2015,1016.5,864,385.7787494,132.0536411,1.570796327
BMGMC_014_7_2_15_layer1,14,7/2/2015,806,1164,600.6607241,179.6900573,1.570796327
BMGMC_014_7_2_15_layer1,14,7/2/2015,403.0005895,1153.185623,164.819619,147.4248945,1.554814279
BMGMC_014_7_2_15_layer1,14,7/2/2015,1117.5,1386,439.4801303,189.2169753,1.570796327
BMGMC_014_7_2_15_layer1,14,7/2/2015,575,1390.5,358.9937085,101.7559288,1.570796327
BMGMC_014_7_2_15_layer2,14,7/2/2015,1356,181,240.330726,143.3002245,1.570796327
BMGMC_014_7_2_15_layer2,14,7/2/2015,1639.5,244.5,196.0820114,95.647258,1.570796327
BMGMC_014_7_2_15_layer2,14,7/2/2015,691.2878494,361.1751165,212.9346477,115.5258418,-1.340778729
BMGMC_014_7_2_15_layer2,14,7/2/2015,925.5251923,540.4853673,323.2793761,195.8135206,-1.102653305
BMGMC_014_7_2_15_layer2,14,7/2/2015,1504,655,273.4568451,107.1358375,1.49651424
BMGMC_014_7_2_15_layer2,14,7/2/2015,746.0237941,790.5253197,258.5211827,113.7950045,-1.499064045
BMGMC_014_7_2_15_layer2,14,7/2/2015,1156.5,988.5,326.2278515,128.6085373,1.570796327
BMGMC_014_7_2_15_layer2,14,7/2/2015,281.0059263,1126.999824,489.66335,199.7457643,-1.448487351
BMGMC_014_7_2_15_layer2,14,7/2/2015,652.5,1070,285.4818402,119.9438495,1.570796327
BMGMC_014_7_2_15_layer2,14,7/2/2015,1567.5,1123,316.5749379,244.6030019,1.570796327
BMGMC_014_7_2_15_layer2,14,7/2/2015,940.3107182,1126.780122,277.1581523,154.3324809,1.342756153
BMGMC_014_7_2_15_layer2,14,7/2/2015,680.7633957,1492.055494,343.6609121,155.5753856,1.445217296
BMGMC_014_7_2_15_layer3,14,7/2/2015,1608.236156,603.6822605,378.0381271,95.520671,1.331542724
BMGMC_014_7_2_15_layer3,14,7/2/2015,498.7400691,952.1999673,460.2019996,203.0959141,1.420556693
BMGMC_014_7_2_15_layer3,14,7/2/2015,1371,1299.5,358.9762049,177.9583396,1.570796327
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,655.4997733,367.5221075,403.9194761,182.4931405,1.469095332
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,1164.505801,447.4913528,411.2020002,183.5619042,1.413428176
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,302.5,467.5,346.9471256,175.3482851,1.570796327
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,847.5,773.5,215.2708484,100.8906956,1.570796327
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,1842.511986,882.5008125,284.1622479,184.0602593,-1.513723903
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,1584.5523,971.3911883,216.0770699,84.46513653,-1.49520068
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,1107.506706,1177.480582,554.0189403,226.973706,1.497880385
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,513.5001558,1063.50262,297.3853068,216.3412515,1.281216371
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,1403.508566,1307.496177,395.6052493,216.2792324,1.432852034
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,1890.48581,1498.488208,428.4651661,136.6491096,1.540714678
BMGMC_013_baseline_7_6_15_layer1,13,7/6/2015,470.4922093,1482.504886,316.7227895,165.0587181,1.481544256
BMGMC_013_baseline_7_6_15_layer2,13,7/6/2015,1687.513546,469.6484255,638.9646292,161.0754801,-1.545370641
BMGMC_013_baseline_7_6_15_layer2,13,7/6/2015,188.5195737,484.5097172,216.7570579,126.4953902,1.455083089
BMGMC_013_baseline_7_6_15_layer2,13,7/6/2015,434.499929,734.503701,321.1882838,146.6087828,-1.450622095
BMGMC_013_baseline_7_6_15_layer2,13,7/6/2015,1257.5,1020.5,760.9381516,256.7600518,1.570796327
BMGMC_013_baseline_7_6_15_layer2,13,7/6/2015,283.5,1170.5,528.7476859,229.0828165,1.570796327
BMGMC_013_baseline_7_6_15_layer2,13,7/6/2015,911.4874707,1197.528362,419.7404379,196.2875308,1.451151637
BMGMC_013_baseline_7_6_15_layer2,13,7/6/2015,1948.5,1115.5,225.7021799,121.8688797,-1.484853005
BMGMC_013_baseline_7_6_15_layer2,13,7/6/2015,624.5027169,1445.508688,183.1637726,87.31403746,-1.316635461
BMGMC_013_baseline_7_6_15_layer3,13,7/6/2015,711.4998222,891.498732,603.17321,204.7594616,1.368234649
BMGMC_013_baseline_7_6_15_layer3,13,7/6/2015,1001.503934,844.4994783,269.4342422,125.6819743,-1.404303817
BMGMC_013_baseline_7_6_15_layer3,13,7/6/2015,1822.512456,1129.538027,199.1031353,152.6790738,-1.324442822
BMGMC_015_7_6_15_layer1,15,7/6/2015,922.6541554,399.2224326,617.1478235,313.8870885,-1.48034858
BMGMC_015_7_6_15_layer1,15,7/6/2015,1585.667264,695.4906241,386.0322161,233.1004902,1.242468425
BMGMC_015_7_6_15_layer1,15,7/6/2015,786.5024927,1002.016608,454.3236592,263.5015271,-1.565942553
BMGMC_015_7_6_15_layer1,15,7/6/2015,118.5,924.5,241.0894997,135.4938064,1.570796327
BMGMC_015_7_6_15_layer1,15,7/6/2015,472.9939075,1279.463834,651.6536532,182.5581762,1.418663361
BMGMC_015_7_6_15_layer1,15,7/6/2015,1640,1390,401.4835606,124.2645655,1.570796327
BMGMC_015_7_6_15_layer1,15,7/6/2015,1163.5,1437.5,329.5838366,93.97895129,1.570796327
BMGMC_015_7_6_15_layer1,15,7/6/2015,1332.468665,1526.031505,310.8534106,153.8668832,-1.484163913
BMGMC_015_7_6_15_layer2,15,7/6/2015,627,616.5,566.817116,160.8872918,-1.54872329
BMGMC_015_7_6_15_layer2,15,7/6/2015,335.230069,469.2764057,202.4551944,137.323608,1.338205143
BMGMC_015_7_6_15_layer2,15,7/6/2015,1157.992704,747.7482856,609.9130057,189.2714542,1.465701224
